word	Stance_favor	Stance_against
notebandi	-1.6473408322781324e-05	-0.000785085023380816
pe	-4.633453499991447e-05	0.0006908611976541579
aap	-9.247974958270788e-05	-0.00037389795761555433
ki	-0.0001020976051222533	-0.0009479739237576723
nautanki..	-0.0005339793860912323	-0.004950652830302715
narendra	0.0004399418830871582	-1.4330488835520572e-12
modi	0.021915733814239502	-2.0976468825817385e-11
ji	0.6125718355178833	-3.0406268614058263e-09
and	5.793571472167969e-05	-8.115844151238005e-14
me	-2.7418136596679688e-06	6.842844602853327e-16
notebandi	3.814697265625e-06	-5.209850021010987e-13
karke	2.5033950805664062e-06	-5.12706522202977e-13
aapne	-3.337860107421875e-06	-3.662805193697938e-13
bahut	-3.2186508178710938e-06	2.5561747576746067e-15
achaa	0.006860256195068359	-7.415583425096628e-11
kaam	-7.152557373046875e-07	3.581703381420279e-15
kiya	3.5762786865234375e-07	5.160907373116461e-15
hai	2.9325485229492188e-05	-6.367082967632942e-14
rs.	9.014636361825978e-07	4.589727541315369e-05
/-	-2.2565898689208552e-05	7.835906581021845e-05
ka	-4.739606993098278e-06	-5.793716263724491e-05
note	4.220632945362013e-07	2.5839151930995286e-05
to	-0.0003462481836322695	-5.531576607609168e-05
le	-1.991169256143621e-06	1.4389916032087058e-05
liya	-3.121810777884093e-06	3.73418843082618e-05
,	1.2900279671157477e-06	8.374685421586037e-06
but	-2.7382657208363526e-07	5.078237154521048e-05
ab	-3.224529336876003e-07	9.452967788092792e-06
ye	-7.520454801124288e-07	1.6467063687741756e-05
to	2.7615078579401597e-06	2.849657175829634e-05
market	-3.975533036282286e-05	-0.0002927061577793211
chal	3.0844171305943746e-06	-0.0012262738309800625
nahi	1.6375051927752793e-06	-0.00017729762475937605
raha	2.4141020276147174e-06	-0.00013709039194509387
,,	-2.1191779524087906e-05	-5.990696809021756e-05
dukandar	-1.0001124792324845e-05	-0.03214859962463379
bol	-5.130018507770728e-06	7.23423800081946e-05
rahe	2.93973607767839e-06	-0.00014020677190274
he	-6.683364972559502e-07	3.464957626420073e-05
khulle	-3.7805241390742594e-06	-0.00018820571131072938
nahi	4.0156464820029214e-07	-2.126881736330688e-05
he..	1.2474029063014314e-06	3.010904765687883e-05
:(	-3.7493348372663604e-06	-0.003975532948970795
notebandi	-4.5233164436275786e-11	-1.3998684820376063e-15
bada	-1.2796346204879683e-09	-6.682689883234783e-13
ghotala	-2.2042662140009384e-10	-7.530532865037201e-14
hai:	-6.143240170786157e-05	-8.196852641084718e-10
kejriwal.	-3.120380689947133e-12	-1.6611024215200734e-14
bhai	-2.423434786180678e-10	-3.7060288106578743e-13
dukh	7.71303507174359e-12	9.672078642283723e-15
tho	4.57633280229186e-12	7.452722724436527e-15
hoga	9.420335171650418e-12	6.9872929429968655e-15
kejri	-6.652359219039283e-12	6.956571481516426e-15
ko	1.9330023692809561e-13	-1.2850801863883033e-14
